EAN,Lieferant,Gesamtlänge,Kopfdurchmesser,Teilgewindelänge,Klingengröße,URL
4003530091896,Spax,45,8.8.,30,20,https://www.spax.com/de/produkte/edelstahl/senkkopf/edelstahlschraube-45-x-45-mm-200-stueck-teilgewinde-senkkopf-t-star-plus-t20-4cut-edelstahl-rostfrei-a2-0197000450453/pid-1939/
4003530097096,Spax,70,8.8,42,20,https://www.spax.com/de/produkte/Edelstahl/Senkkopf/edelstahlschraube-45-x-70-mm-100-stueck-teilgewinde-senkkopf-t-star-plus-t20-4cut-edelstahl-rostfrei-a2-0197000450703/pid-1942/
4003530157042,Spax,25,7,21,15,https://www.spax.com/de/produkte/Edelstahl/Senkkopf/edelstahlschraube-35-x-25-mm-200-stueck-vollgewinde-senkkopf-t-star-plus-t15-4cut-edelstahl-rostfrei-a2-1197000350253/pid-1895/
4003530166181,Spax,30,9,27,20,https://www.spax.com/de/produkte/Universal/Halbrundkopf/universalschraube-45-x-30-mm-200-stueck-vollgewinde-halbrundkopf-t-star-plus-t20-4cut-wirox-0201010450303/pid-1281/
4003530166297,Spax,20,9.9,17,20,https://www.spax.com/de/produkte/Universal/Halbrundkopf/universalschraube-5-x-20-mm-200-stueck-vollgewinde-halbrundkopf-t-star-plus-t20-4cut-wirox-0201010500203/pid-1299/
4003530166327,Spax,35,9.9,32,20,https://www.spax.com/de/produkte/Universal/Halbrundkopf/universalschraube-5-x-35-mm-200-stueck-vollgewinde-halbrundkopf-t-star-plus-t20-4cut-wirox-0201010500353/pid-1302/
4003530091827,Spax,40,7,23,15,https://www.spax.com/de/produkte/Edelstahl/Senkkopf/edelstahlschraube-35-x-40-mm-200-stueck-teilgewinde-senkkopf-t-star-plus-t15-4cut-edelstahl-rostfrei-a2-0197000350403/pid-2029/
4003530091803,Spax,30,7,18,15,https://www.spax.com/de/produkte/Edelstahl/Senkkopf/edelstahlschraube-35-x-30-mm-200-stueck-teilgewinde-senkkopf-t-star-plus-t15-4cut-edelstahl-rostfrei-a2-0197000350303/pid-2027/
4003530091933,Spax,45,9.7,30,20,https://www.spax.com/de/produkte/Edelstahl/Senkkopf/edelstahlschraube-5-x-45-mm-200-stueck-teilgewinde-senkkopf-t-star-plus-t20-4cut-edelstahl-rostfrei-a2-0197000500453/pid-1944/
4003530165764,Spax,16,6,15,10,https://www.spax.com/de/produkte/Universal/Halbrundkopf/universalschraube-3-x-16-mm-200-stueck-vollgewinde-halbrundkopf-t-star-plus-t10-s-spitze-wirox-0201010300163/pid-1244/
4003530257841,Spax,30,9.6,16,20,https://www.spax.com/de/produkte/Universal/Flachr%c3%bcckwandkopf/flachrueckwandkopf-fuer-korpus-4-x-30-mm-200-stueck-teilgewinde-rueckwandkopf-t-star-plus-4cut-vernickelt-0681030400303/pid-2555/
4003530257858,Spax,34,9.6,16,20,https://www.spax.com/de/produkte/Universal/Flachr%c3%bcckwandkopf/flachrueckwandkopf-fuer-korpus-40-x-34-mm-200-stueck-teilgewinde-rueckwandkopf-t-star-plus-4cut-vernickelt-0681030400343/pid-2556/